ID,TITLE,CATEGORY
1,bad weather might have caused iranian plane crash,w
2,weather change saves white beach shacks,w
3,fickle weather again holds up cup racing,w
4,naked rain dance to go ahead whatever the weather,w
5,weather conditions may spell problems for dried,w
6,wild weather doesnt deter anti war protesters,w
7,firefighters await cooler weather,w
8,wild weather lashes northern vic,w
9,weather bureau issues cyclone warning for tiwi,w
10,tourism council calls for all weather access roads,w
11,crash investigators hope for better weather,w
12,rower in good spirits despite poor weather,w
13,protesters brave cool weather to voice anti war,w
14,wild weather brings stock losses,w
15,weather world events taking toll on tas abalone,w
16,farmers still waiting for weather break,w
17,farmers cautious about weather predictions,w
18,mayweather retains wbc lightweight crown,w
19,bad weather doesnt stop anzac day services,w
20,prawn fishers face weather price hurdles,w
21,severe weather warning for illawarra,w
22,next 10 days weather crucial,w
23,abattoir weathering tight conditions,w
24,pacific sends mixed weather signals to forecasters,w
25,bureau warns of wild weather for adelaide,w
26,weather bureau warns of more severe storms,w
27,caravan park evacuated because of wild weather,w
28,public urged to be prepared for weekend weather,w
29,weather leaves destructive trail in gippsland,w
30,wild weather creating havoc throughout victoria,w
31,weather internet service launched for sa boaties,w
32,mildura to trial computer weather service,w
33,wild weather damages shops in perth,w
34,nasa hopes weather holds for mars launch,w
35,weather lifts balloons aloft at mildura,w
36,george town aims to weather ferry disappointment,w
37,stormy weather wreaks havoc throughout sa,w
38,weather hampers hazard reduction attempts,w
39,weather hampers png mine rescue,w
40,weather prevents png landslide rescue,w
41,fears hotter weather may hurt rainforest species,w
42,police head for solomons weather coast,w
43,good weather keeps tasmanian meat works open,w
44,wild weather lashes ne victoria,w
45,nsw welcomes wet weather,w
46,wild weather batters ballarat,w
47,wild weather lashes east coast,w
48,york park crowd undetered by poor weather,w
49,ses crews work over time after wild weather weekend,w
50,wintery weather causes havoc on sa roads,w
51,wet weather triggers highway closure,w
52,weather hampers timber mill work,w
53,upgrade gives aerodrome all weather use,w
54,bodies found on solomons weather coast,w
55,weather may hamper firefighters efforts,w
56,fire crews pin hopes on favourable weather,w
57,weather heats up quickly in bourke,w
58,fans hail afl grand final as wild weather forecast,w
59,warmer weather stirs snakes into action,w
60,warmer weather brings out snakes,w
61,weather conditions spark mozzie virus warning,w
62,call for better grain planning to weather lean,w
63,odd weather conditions led to canberra firestorm,w
64,cloudy weather will not hamper taikonaut launch,w
65,cold weather cracks pole sitting champions,w
66,poor weather blamed for drop in australias grape,w
67,hotter weather prompts regional power warning,w
68,poor weather clouds solar cycle race,w
69,bad weather threatens womans pacific solo,w
70,gold coast tourism weathers global events well,w
71,vignerons optimistic despite weather,w
72,weather delays construction of perth glorys stadium,w
73,weather cools down western queensland,w
74,bad weather halts epga event,w
75,cooler weather brings hope to california,w
76,wet weather key to derby outcome,w
77,californian firefighters welcome cooler weather,w
78,weather helps firefighters contain california,w
79,weather fuel ruled out as cause of nq plane crash,w
80,weather study embraces indigenous knowledge,w
81,weather warms sa growers hopes,w
82,dry weather sparks fire restrictions,w
83,food safety highlighted as weather warms,w
84,melbourne to hit 35 degrees before weather change,w
85,warning extreme weather conditions could spark,w
86,farmers may have to weather more el nino woes,w
87,teys helps port weather lakes creek woes,w
88,weather dries up winter grain harvest hopes,w
89,weather whips up burn offs in tas,w
90,hot weather makes toowoomba residents reach for,w
91,wet weather blamed for accidents,w
92,govt warns of future extreme weather,w
93,global warming blamed for extreme weather,w
94,hotter weather brings fire warning,w
95,super computer to make weather forecasting quicker,w
96,weather hampers snowy mountains tourist search,w
97,bad weather hinders nz pakistan match,w
98,ses cleans up after bad weather lashes sa,w
99,yacht crews on weather watch,w
100,cold weather kills 24 in northern india,w
101,cold weather kills 87 in north india,w
102,domestic tourism helps gold coast weather tough,w
103,cold weather kills 50 in bangladesh,w
104,freezing weather threatens iran quake survivors,w
105,hot weather fuels jump in water use in act,w
106,dive company cancels further trips due to weather,w
107,weather concerns for poppy growers,w
108,weather turns in favour of forest firefighters,w
109,cooler weather helps firefighters control forest,w
110,good weather eases gas shortage,w
111,burke shire warns of wild weather,w
112,weather forces fire ban in tasmania,w
113,hot weather sparks victorian fire warning,w
114,tas crews hope weather forecast curbs fire risk,w
115,weather blamed for vegetable shortage,w
116,cool dry weather expected for central victoria,w
117,weather bureau says no el nino yet,w
118,darwins wet weather tipped to continue,w
119,poor weather hampers german warship recovery,w
120,weather bureau continues to monitor cyclone,w
121,weather bureau issues cyclone watch,w
122,hot weather alerts scientists to reef bleaching,w
123,gulf towns weather cyclone,w
124,south australia braces for more scorching weather,w
125,sa sports urged to reconsider hot weather policies,w
126,weather bureau fails to take heat out of riverland,w
127,more muggy weather predicted for perth,w
